cell,gene,expr_real,expr_wt,expr_ko,diff
201,FOXM1,2.0,1.0,0.0,-1.0
202,FOXM1,2.0,1.0,2.0,1.0
203,FOXM1,0.0,0.0,1.0,1.0
204,FOXM1,2.0,0.0,0.0,0.0
205,FOXM1,2.0,0.0,0.0,0.0
206,FOXM1,0.0,1.0,0.0,-1.0
207,FOXM1,0.0,0.0,1.0,1.0
208,FOXM1,0.0,0.0,0.0,0.0
209,FOXM1,1.0,2.0,1.0,-1.0
210,FOXM1,0.0,0.0,0.0,0.0
211,FOXM1,0.0,0.0,0.0,0.0
212,FOXM1,0.0,4.0,0.0,-4.0
213,FOXM1,0.0,0.0,0.0,0.0
214,FOXM1,3.0,0.0,0.0,0.0
215,FOXM1,0.0,0.0,0.0,0.0
216,FOXM1,0.0,0.0,0.0,0.0
217,FOXM1,1.0,0.0,0.0,0.0
218,FOXM1,0.0,0.0,0.0,0.0
219,FOXM1,1.0,2.0,1.0,-1.0
220,FOXM1,1.0,1.0,0.0,-1.0
221,FOXM1,0.0,0.0,0.0,0.0
222,FOXM1,0.0,1.0,1.0,0.0
223,FOXM1,0.0,0.0,0.0,0.0
224,FOXM1,0.0,1.0,5.0,4.0
225,FOXM1,0.0,1.0,0.0,-1.0
226,FOXM1,1.0,0.0,0.0,0.0
227,FOXM1,1.0,0.0,0.0,0.0
228,FOXM1,0.0,0.0,0.0,0.0
229,FOXM1,2.0,0.0,0.0,0.0
230,FOXM1,0.0,0.0,0.0,0.0
231,FOXM1,3.0,0.0,0.0,0.0
232,FOXM1,0.0,0.0,0.0,0.0
233,FOXM1,3.0,0.0,0.0,0.0
234,FOXM1,0.0,0.0,0.0,0.0
235,FOXM1,0.0,1.0,1.0,0.0
236,FOXM1,0.0,0.0,0.0,0.0
237,FOXM1,0.0,1.0,0.0,-1.0
238,FOXM1,0.0,0.0,0.0,0.0
239,FOXM1,0.0,0.0,0.0,0.0
240,FOXM1,0.0,0.0,0.0,0.0
241,FOXM1,0.0,0.0,0.0,0.0
242,FOXM1,0.0,0.0,0.0,0.0
243,FOXM1,0.0,1.0,0.0,-1.0
244,FOXM1,0.0,0.0,0.0,0.0
245,FOXM1,0.0,1.0,0.0,-1.0
246,FOXM1,0.0,0.0,0.0,0.0
247,FOXM1,0.0,0.0,0.0,0.0
248,FOXM1,0.0,0.0,0.0,0.0
249,FOXM1,0.0,0.0,0.0,0.0
250,FOXM1,0.0,0.0,0.0,0.0
251,FOXM1,0.0,0.0,0.0,0.0
252,FOXM1,0.0,0.0,0.0,0.0
253,FOXM1,0.0,1.0,0.0,-1.0
254,FOXM1,0.0,0.0,0.0,0.0
255,FOXM1,0.0,0.0,1.0,1.0
256,FOXM1,4.0,0.0,0.0,0.0
257,FOXM1,0.0,0.0,0.0,0.0
258,FOXM1,0.0,1.0,0.0,-1.0
259,FOXM1,0.0,7.0,0.0,-7.0
260,FOXM1,0.0,0.0,0.0,0.0
261,FOXM1,0.0,0.0,0.0,0.0
262,FOXM1,1.0,1.0,1.0,0.0
263,FOXM1,6.0,2.0,0.0,-2.0
264,FOXM1,1.0,1.0,0.0,-1.0
265,FOXM1,0.0,2.0,0.0,-2.0
266,FOXM1,1.0,0.0,0.0,0.0
267,FOXM1,0.0,0.0,0.0,0.0
268,FOXM1,0.0,3.0,1.0,-2.0
269,FOXM1,0.0,0.0,0.0,0.0
270,FOXM1,0.0,1.0,0.0,-1.0
271,FOXM1,0.0,0.0,1.0,1.0
272,FOXM1,1.0,0.0,2.0,2.0
273,FOXM1,4.0,0.0,0.0,0.0
274,FOXM1,0.0,0.0,1.0,1.0
275,FOXM1,1.0,0.0,0.0,0.0
276,FOXM1,2.0,0.0,0.0,0.0
277,FOXM1,0.0,0.0,0.0,0.0
278,FOXM1,0.0,0.0,0.0,0.0
279,FOXM1,0.0,2.0,0.0,-2.0
280,FOXM1,0.0,3.0,1.0,-2.0
281,FOXM1,0.0,0.0,0.0,0.0
282,FOXM1,0.0,0.0,0.0,0.0
283,FOXM1,0.0,0.0,1.0,1.0
284,FOXM1,0.0,0.0,0.0,0.0
285,FOXM1,2.0,0.0,2.0,2.0
286,FOXM1,2.0,0.0,0.0,0.0
287,FOXM1,0.0,0.0,0.0,0.0
288,FOXM1,0.0,0.0,0.0,0.0
289,FOXM1,0.0,1.0,0.0,-1.0
290,FOXM1,0.0,5.0,1.0,-4.0
291,FOXM1,0.0,1.0,0.0,-1.0
292,FOXM1,0.0,0.0,0.0,0.0
293,FOXM1,0.0,0.0,0.0,0.0
294,FOXM1,0.0,0.0,0.0,0.0
295,FOXM1,0.0,1.0,0.0,-1.0
296,FOXM1,0.0,0.0,0.0,0.0
297,FOXM1,0.0,0.0,0.0,0.0
298,FOXM1,0.0,1.0,1.0,0.0
299,FOXM1,0.0,0.0,0.0,0.0
300,FOXM1,0.0,0.0,0.0,0.0
301,FOXM1,0.0,0.0,0.0,0.0
302,FOXM1,0.0,1.0,0.0,-1.0
303,FOXM1,0.0,0.0,0.0,0.0
304,FOXM1,0.0,0.0,0.0,0.0
305,FOXM1,0.0,0.0,0.0,0.0
306,FOXM1,0.0,0.0,0.0,0.0
307,FOXM1,4.0,0.0,0.0,0.0
308,FOXM1,0.0,0.0,1.0,1.0
309,FOXM1,1.0,0.0,0.0,0.0
310,FOXM1,0.0,0.0,0.0,0.0
311,FOXM1,0.0,2.0,0.0,-2.0
312,FOXM1,1.0,0.0,0.0,0.0
313,FOXM1,0.0,0.0,0.0,0.0
314,FOXM1,0.0,0.0,0.0,0.0
315,FOXM1,0.0,0.0,0.0,0.0
316,FOXM1,0.0,0.0,1.0,1.0
317,FOXM1,0.0,0.0,0.0,0.0
318,FOXM1,0.0,0.0,0.0,0.0
319,FOXM1,1.0,1.0,0.0,-1.0
320,FOXM1,0.0,0.0,0.0,0.0
321,FOXM1,0.0,0.0,0.0,0.0
322,FOXM1,1.0,1.0,0.0,-1.0
323,FOXM1,0.0,0.0,0.0,0.0
324,FOXM1,0.0,0.0,0.0,0.0
325,FOXM1,0.0,0.0,0.0,0.0
326,FOXM1,0.0,0.0,1.0,1.0
327,FOXM1,0.0,0.0,0.0,0.0
328,FOXM1,0.0,0.0,2.0,2.0
329,FOXM1,0.0,0.0,0.0,0.0
330,FOXM1,0.0,1.0,1.0,0.0
331,FOXM1,0.0,0.0,0.0,0.0
332,FOXM1,4.0,1.0,1.0,0.0
333,FOXM1,2.0,0.0,0.0,0.0
334,FOXM1,0.0,1.0,0.0,-1.0
335,FOXM1,0.0,0.0,0.0,0.0
336,FOXM1,0.0,0.0,0.0,0.0
337,FOXM1,0.0,0.0,0.0,0.0
338,FOXM1,0.0,0.0,1.0,1.0
339,FOXM1,0.0,0.0,0.0,0.0
340,FOXM1,0.0,0.0,0.0,0.0
341,FOXM1,0.0,3.0,0.0,-3.0
342,FOXM1,0.0,1.0,0.0,-1.0
343,FOXM1,0.0,3.0,0.0,-3.0
344,FOXM1,0.0,0.0,1.0,1.0
345,FOXM1,0.0,0.0,1.0,1.0
346,FOXM1,0.0,0.0,0.0,0.0
347,FOXM1,1.0,0.0,0.0,0.0
348,FOXM1,0.0,0.0,0.0,0.0
349,FOXM1,0.0,3.0,1.0,-2.0
350,FOXM1,2.0,0.0,0.0,0.0
351,FOXM1,2.0,0.0,0.0,0.0
352,FOXM1,0.0,1.0,0.0,-1.0
353,FOXM1,0.0,0.0,1.0,1.0
354,FOXM1,0.0,1.0,1.0,0.0
355,FOXM1,0.0,0.0,0.0,0.0
356,FOXM1,0.0,0.0,0.0,0.0
357,FOXM1,0.0,1.0,0.0,-1.0
358,FOXM1,0.0,0.0,0.0,0.0
359,FOXM1,0.0,0.0,0.0,0.0
360,FOXM1,0.0,0.0,0.0,0.0
361,FOXM1,0.0,2.0,6.0,4.0
362,FOXM1,1.0,0.0,0.0,0.0
363,FOXM1,0.0,0.0,0.0,0.0
364,FOXM1,2.0,1.0,0.0,-1.0
365,FOXM1,2.0,0.0,0.0,0.0
366,FOXM1,0.0,0.0,0.0,0.0
367,FOXM1,0.0,0.0,0.0,0.0
368,FOXM1,0.0,2.0,0.0,-2.0
369,FOXM1,0.0,3.0,0.0,-3.0
370,FOXM1,0.0,0.0,0.0,0.0
371,FOXM1,0.0,0.0,0.0,0.0
372,FOXM1,0.0,0.0,0.0,0.0
373,FOXM1,0.0,1.0,0.0,-1.0
374,FOXM1,0.0,1.0,1.0,0.0
375,FOXM1,0.0,1.0,0.0,-1.0
376,FOXM1,1.0,0.0,0.0,0.0
377,FOXM1,0.0,0.0,1.0,1.0
378,FOXM1,0.0,3.0,0.0,-3.0
379,FOXM1,2.0,2.0,1.0,-1.0
380,FOXM1,0.0,0.0,0.0,0.0
381,FOXM1,0.0,1.0,1.0,0.0
382,FOXM1,1.0,0.0,0.0,0.0
383,FOXM1,0.0,2.0,1.0,-1.0
384,FOXM1,0.0,0.0,0.0,0.0
385,FOXM1,0.0,0.0,0.0,0.0
386,FOXM1,0.0,0.0,0.0,0.0
387,FOXM1,0.0,4.0,2.0,-2.0
388,FOXM1,3.0,0.0,0.0,0.0
389,FOXM1,0.0,1.0,2.0,1.0
390,FOXM1,0.0,0.0,0.0,0.0
391,FOXM1,0.0,0.0,2.0,2.0
392,FOXM1,0.0,0.0,1.0,1.0
393,FOXM1,3.0,0.0,0.0,0.0
394,FOXM1,2.0,0.0,0.0,0.0
395,FOXM1,0.0,0.0,0.0,0.0
396,FOXM1,2.0,0.0,0.0,0.0
397,FOXM1,0.0,0.0,0.0,0.0
398,FOXM1,0.0,0.0,0.0,0.0
399,FOXM1,0.0,0.0,0.0,0.0
400,FOXM1,0.0,0.0,0.0,0.0
401,FOXM1,1.0,0.0,0.0,0.0
402,FOXM1,0.0,0.0,0.0,0.0
403,FOXM1,0.0,0.0,2.0,2.0
404,FOXM1,0.0,0.0,0.0,0.0
405,FOXM1,0.0,0.0,0.0,0.0
406,FOXM1,0.0,3.0,0.0,-3.0
407,FOXM1,0.0,0.0,1.0,1.0
408,FOXM1,1.0,0.0,0.0,0.0
409,FOXM1,0.0,1.0,0.0,-1.0
410,FOXM1,1.0,0.0,0.0,0.0
411,FOXM1,1.0,0.0,0.0,0.0
412,FOXM1,1.0,0.0,0.0,0.0
413,FOXM1,0.0,0.0,1.0,1.0
414,FOXM1,1.0,1.0,0.0,-1.0
415,FOXM1,0.0,0.0,0.0,0.0
416,FOXM1,1.0,2.0,1.0,-1.0
417,FOXM1,0.0,0.0,0.0,0.0
418,FOXM1,0.0,0.0,0.0,0.0
419,FOXM1,1.0,0.0,0.0,0.0
420,FOXM1,2.0,0.0,0.0,0.0
421,FOXM1,0.0,2.0,0.0,-2.0
422,FOXM1,3.0,0.0,0.0,0.0
423,FOXM1,0.0,0.0,0.0,0.0
424,FOXM1,0.0,0.0,0.0,0.0
425,FOXM1,2.0,1.0,0.0,-1.0
426,FOXM1,0.0,0.0,0.0,0.0
427,FOXM1,0.0,0.0,1.0,1.0
428,FOXM1,1.0,2.0,0.0,-2.0
429,FOXM1,3.0,3.0,0.0,-3.0
430,FOXM1,0.0,0.0,1.0,1.0
431,FOXM1,0.0,0.0,0.0,0.0
432,FOXM1,0.0,1.0,0.0,-1.0
433,FOXM1,2.0,1.0,0.0,-1.0
434,FOXM1,0.0,0.0,0.0,0.0
