gene,umap_x,umap_y,cluster
CDCA8,-6.5578985,-0.7359003,19
DCAF16,16.908604,5.215391,7
TONSL,4.602493,-2.128662,13
ANKRD28,18.282822,-6.820549,18
CREB5,17.239822,4.038303,7
RBM26,20.411348,9.33018,15
CENPW,17.94807,3.2702248,7
ACOT13,10.636848,11.783809,0
ZC3H6,9.994691,-9.346658,1
AARS2,2.780565,4.700447,9
HMGXB4,8.674845,22.036335,17
COL27A1,8.6654825,-10.048913,1
MSH3,21.320982,1.0123541,7
EPB41L5,7.7883782,-1.3577975,13
COX7B,-3.9510946,8.052848,16
SACS,20.316605,9.521299,15
STAT6,8.515744,-0.46241513,13
PPM1A,22.056948,0.017948437,18
ASH1L,11.612495,21.639034,17
PYROXD2,5.477992,-1.8532968,13
PNPLA3,3.1037924,-0.8795598,13
SESN3,18.430733,12.817477,15
SSH2,11.550275,11.63279,0
ZNF93,5.4396815,-1.8318541,13
PLCE1,8.59177,-1.155521,13
SLC6A6,8.38867,0.77798975,13
ZFX,18.067238,8.1554165,7
SETX,22.828629,-2.3325746,18
MMP2,21.294106,-4.9707384,18
ARHGEF25,5.2303095,-2.1323278,13
ARMC9,3.6270301,-2.6928642,13
GPATCH8,18.395306,12.809519,15
PASK,2.8167086,4.1240826,9
ITGB3BP,14.727127,18.173103,11
STAT5B,22.583021,-1.9447448,18
ABHD5,7.1167507,-6.903748,13
LGR4,15.249785,-6.874331,18
FAM122B,-6.905956,0.039557472,19
ZDHHC8,16.594479,-6.6501765,18
CLDN15,4.3355393,3.807582,9
NCKIPSD,8.54627,-1.0044322,13
ZNF292,8.637327,21.790857,17
ALAD,20.885254,1.2414721,7
VMP1,17.007706,12.522,15
THOC1,9.919334,12.087234,0
AAK1,20.878368,9.899719,15
AC074117.1,3.7202337,-2.7198045,13
CEP104,1.633381,-7.0900207,1
GTSE1,-6.634573,-0.652079,19
AKT2,17.645308,7.370876,7
MCL1,3.1196706,18.515089,3
DNAJC11,7.857198,-10.414683,1
AP1G1,16.50032,-6.9519815,18
SELENOS,9.187923,21.831863,17
PGF,17.04671,4.2418866,7
TMEM259,5.15409,19.579535,3
PFKFB3,22.776363,-1.2843374,18
DDX55,19.964394,1.7938948,7
SMC5,10.026984,16.154741,0
VPS36,13.702235,12.0818615,15
