x,y,cell_type,FOXM1_wt,FOXM1_ko,NUSAP1_wt,NUSAP1_ko,PABPN1_wt,PABPN1_ko
-1.0148436,2.8061278,quiescent,1.0,0.0,1.0,2.0,0.0,0.0
1.3516967,7.7615337,quiescent,0.0,0.0,0.0,2.0,0.0,0.0
0.039972022,7.0235653,quiescent,2.0,0.0,0.0,0.0,0.0,0.0
-1.7309408,5.0935287,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.4208722,8.60923,quiescent,1.0,0.0,0.0,0.0,25.0,0.0
-1.404014,7.824695,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.6794367,7.173318,quiescent,1.0,0.0,5.0,0.0,0.0,0.0
0.15568756,4.5041146,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-2.0371113,9.609553,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
2.1392417,5.319841,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-2.7744331,9.21938,quiescent,0.0,0.0,0.0,1.0,0.0,0.0
-2.1817017,7.1293817,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.46168792,9.084802,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.7276626,3.4859185,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.3531206,9.05702,quiescent,0.0,0.0,2.0,1.0,0.0,0.0
0.84080195,8.025925,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.94218343,9.284754,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.1981044,6.879859,quiescent,2.0,0.0,2.0,0.0,0.0,0.0
-0.17380506,6.8991385,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.45605993,7.415169,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.6363015,5.0658784,quiescent,0.0,0.0,2.0,1.0,0.0,0.0
-0.44325855,9.428273,quiescent,0.0,1.0,0.0,1.0,0.0,0.0
-1.9038297,9.36873,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.9829545,5.788474,quiescent,0.0,0.0,0.0,0.0,43.0,0.0
1.3168086,8.576223,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.1505673,3.2536075,quiescent,0.0,0.0,0.0,0.0,0.0,94.0
