x_wt,y_wt,time,x_ko,y_ko,pop_wt,pop_ko
6.1937256,7.095693,0.0,10.111971,9.683652,quiescent,intermediate
10.914369,4.637173,0.0,2.4500284,4.530373,quiescent,proliferative
12.181665,4.7937756,0.0,8.57855,8.097586,intermediate,intermediate
11.916385,6.3053694,0.0,6.4516993,4.4695873,quiescent,intermediate
11.892088,6.1584535,0.0,5.3010807,8.908905,quiescent,proliferative
6.4140134,7.8480034,0.0,9.193926,4.589975,quiescent,quiescent
11.088644,3.7210364,0.0,11.897184,5.305104,intermediate,intermediate
6.5535913,6.5757813,0.0,8.105453,8.628595,quiescent,intermediate
6.2127743,4.644854,0.0,7.9496765,5.987766,intermediate,intermediate
10.84228,9.71999,0.0,10.182327,2.5699892,intermediate,intermediate
5.883468,6.7264442,0.0,12.385923,3.4384475,proliferative,proliferative
7.8964944,11.082823,0.0,7.1141586,5.879115,intermediate,intermediate
4.8309364,7.6094375,0.0,9.040445,4.7071676,proliferative,intermediate
0.89404833,5.713347,0.0,9.440305,5.4659867,proliferative,proliferative
11.665653,5.600215,0.0,6.4031277,4.570425,intermediate,intermediate
7.10055,9.039586,0.0,2.699499,8.885078,proliferative,proliferative
11.378994,4.728267,0.0,12.519764,9.9753685,proliferative,proliferative
12.102712,5.9112043,0.0,6.542176,7.0182986,intermediate,intermediate
6.1070743,6.451942,0.0,9.096413,3.5994413,quiescent,quiescent
10.3245325,4.9499464,0.0,11.39075,4.377096,quiescent,intermediate
6.207366,8.375058,0.0,5.589141,7.9207,proliferative,proliferative
12.102485,5.2506194,0.0,6.5838733,8.543511,quiescent,intermediate
10.026159,9.935548,0.0,10.362185,6.098934,intermediate,intermediate
7.850695,10.089323,0.0,6.8698297,7.919186,intermediate,intermediate
6.3518434,6.082308,0.0,12.534971,4.561428,quiescent,quiescent
5.9421496,9.122009,0.0,7.3435535,8.916498,proliferative,intermediate
1.7595093,5.695366,0.0,11.321289,5.1487317,quiescent,quiescent
6.440679,5.377141,0.0,1.3340689,5.7091656,quiescent,proliferative
12.46774,5.9136505,0.0,12.318046,5.6031084,quiescent,quiescent
12.320578,6.753611,0.0,8.818704,5.615283,intermediate,intermediate
11.879711,6.288316,0.0,11.924681,8.430629,intermediate,intermediate
7.3423476,10.216128,0.0,6.754873,9.463183,intermediate,intermediate
6.333957,6.3910327,0.0,6.644651,6.2185707,intermediate,quiescent
10.732645,7.0526466,0.0,7.8290434,9.95605,intermediate,quiescent
12.448418,6.2874427,0.0,10.848826,5.8795276,proliferative,intermediate
8.932373,5.235995,0.0,0.03876888,4.284415,intermediate,intermediate
11.752861,4.8168344,0.0,10.209351,7.5193477,quiescent,intermediate
11.342967,5.430519,0.0,11.288047,3.8787115,intermediate,quiescent
7.828275,7.621511,0.0,6.140402,8.0462475,quiescent,quiescent
2.7528892,6.504232,0.0,6.1455197,8.422242,intermediate,intermediate
6.3012958,8.240009,0.0,9.537308,2.7779818,intermediate,quiescent
7.913369,6.0277567,0.0,6.870744,6.689768,intermediate,intermediate
9.103671,10.503179,0.0,5.964547,7.802354,quiescent,intermediate
6.5376954,6.8924046,0.0,6.441728,7.100569,intermediate,intermediate
6.127018,8.377294,0.0,6.0542855,7.566726,quiescent,proliferative
11.683998,4.209323,0.0,11.006711,3.3463306,quiescent,quiescent
7.28115,6.12756,0.0,6.874887,7.0897346,quiescent,quiescent
6.518119,4.712088,0.0,2.3354445,6.5838895,intermediate,intermediate
5.8040996,8.189394,0.0,5.937364,8.20013,proliferative,proliferative
6.217453,7.4941545,0.0,8.069008,5.9162602,intermediate,intermediate
6.672378,8.4496565,0.0,8.3482685,7.1899757,intermediate,intermediate
10.139701,2.5614653,0.0,10.874553,8.8319435,quiescent,intermediate
10.616902,10.405111,0.0,5.982903,7.163702,intermediate,intermediate
8.102441,2.0597887,0.0,7.108321,8.068932,intermediate,quiescent
2.5844102,6.132712,0.0,9.949722,5.749467,intermediate,intermediate
5.614487,8.340752,0.0,6.6685786,4.707602,proliferative,intermediate
5.395481,9.771353,0.0,5.966649,8.154474,quiescent,intermediate
10.326861,5.9926047,0.0,6.045707,6.6130767,quiescent,quiescent
9.43772,9.923974,0.0,9.549878,10.003229,intermediate,intermediate
5.9740806,8.217679,0.0,4.3967233,9.290622,proliferative,quiescent
11.547035,4.3826814,0.0,12.51674,3.9833982,quiescent,quiescent
10.988241,6.169343,0.0,11.180846,3.5469086,intermediate,intermediate
6.3706865,9.052512,0.0,10.48546,1.9463679,intermediate,intermediate
11.491895,5.961648,0.0,7.9558716,5.6976132,intermediate,intermediate
6.4373956,7.294197,0.0,6.8399467,10.091633,intermediate,intermediate
11.830785,5.6527643,0.0,6.02896,6.329088,quiescent,quiescent
5.950547,8.502005,0.0,6.0992403,8.803664,intermediate,intermediate
11.738067,5.921861,0.0,11.613199,5.8337836,quiescent,quiescent
7.1492195,8.014492,0.0,12.743732,9.360615,quiescent,quiescent
10.823964,6.9240484,0.0,6.423084,8.884429,quiescent,intermediate
8.304327,4.119645,0.0,11.986763,6.7153654,intermediate,intermediate
6.374972,4.649622,0.0,9.138999,10.453394,intermediate,quiescent
12.681414,5.8304057,0.0,10.387688,6.4215803,intermediate,intermediate
6.2616014,5.2597857,0.0,11.4298725,5.8098006,intermediate,intermediate
10.645704,3.507173,0.0,11.74847,4.8844957,quiescent,quiescent
6.181052,6.8120594,0.0,9.169006,11.861627,intermediate,quiescent
7.1061716,10.11897,0.0,8.780687,9.946647,intermediate,intermediate
11.736539,5.2029934,0.0,12.0138855,5.03229,intermediate,quiescent
10.87522,3.798571,0.0,5.9678254,8.400495,intermediate,intermediate
6.0017257,5.3339887,0.0,9.333264,8.550637,intermediate,intermediate
6.486577,5.564445,0.0,10.630189,5.673563,intermediate,proliferative
12.750181,10.319645,0.0,6.308588,6.903339,intermediate,intermediate
11.111379,5.1815233,0.0,11.105436,5.693009,intermediate,intermediate
12.224682,8.298692,0.0,12.366962,6.7040024,proliferative,proliferative
5.7313166,8.002064,0.0,12.730045,10.323816,quiescent,quiescent
11.920466,4.7751718,0.0,7.2284675,3.431122,quiescent,quiescent
6.647123,6.0096993,0.0,11.480534,5.0657907,quiescent,quiescent
8.149371,11.572465,0.0,10.558028,7.5014987,intermediate,quiescent
5.782679,8.443415,0.0,7.23244,9.242988,proliferative,proliferative
11.277187,4.5218983,0.0,6.9698606,8.241578,intermediate,intermediate
9.211938,4.0035906,0.0,9.083818,1.4070692,intermediate,intermediate
11.129689,9.636531,0.0,8.761318,4.14232,intermediate,intermediate
12.202579,3.4581401,0.0,6.0117536,8.092079,quiescent,intermediate
1.7715116,6.6695786,0.0,6.172184,6.9962215,quiescent,quiescent
11.49282,7.8904448,0.0,10.541024,6.668054,intermediate,intermediate
5.7965336,7.9718847,0.0,12.300212,7.0045395,intermediate,quiescent
4.935529,6.564191,0.0,6.093939,8.281029,proliferative,quiescent
7.02926,3.580737,0.0,6.8197265,7.3063874,intermediate,quiescent
6.11894,5.331111,0.0,5.9894066,8.02936,quiescent,intermediate
5.8240876,6.566128,0.0,10.259124,6.354787,quiescent,quiescent
9.510263,11.832116,0.0,7.220262,8.19841,intermediate,intermediate
2.5041404,5.130345,0.0,6.617035,3.8874795,intermediate,quiescent
6.7085533,4.692104,0.0,6.8974013,6.0250845,intermediate,intermediate
3.0435433,4.956743,0.0,3.088309,3.671977,intermediate,intermediate
7.9801745,11.441246,0.0,6.3383613,8.365622,quiescent,quiescent
6.36614,4.8851323,0.0,6.8716006,10.254765,quiescent,intermediate
7.121724,8.959398,0.0,7.057666,7.110827,quiescent,quiescent
11.912198,5.845734,0.0,6.3588796,7.347119,quiescent,intermediate
0.97548956,5.29242,0.0,6.8198786,6.90279,quiescent,quiescent
4.0760207,5.411733,0.0,5.577121,6.511738,intermediate,quiescent
6.9345355,9.37778,0.0,10.002342,4.0182686,intermediate,intermediate
8.834626,8.339103,0.0,6.5065565,7.4972568,intermediate,intermediate
10.919216,4.9143534,0.0,11.605159,5.483407,proliferative,quiescent
11.921553,6.1268015,0.0,7.190997,8.47706,intermediate,intermediate
11.911916,4.731469,0.0,10.602986,1.4573573,quiescent,quiescent
