gene,cell_type,mean_wt,mean_ko,log2fc
KIF23,quiescent,0.3913885898815931,0.43057050592034446,0.13764780013254552
UBALD2,quiescent,0.6219590958019375,0.5965554359526373,-0.060163492984420835
PRRT2,quiescent,0.3341227125941873,0.3463939720129171,0.05203576838335513
ELN,quiescent,1.5989235737351992,1.6880516684607105,0.07825808147236983
KIF2C,quiescent,0.5235737351991389,0.5257265877287406,0.005919971532534092
CDC20,quiescent,0.596124865446717,0.5829924650161464,-0.032137314737418335
SGO1,quiescent,0.3969860064585576,0.38858988159311086,-0.03083981857628343
CCDC18,quiescent,0.3293864370290635,0.308719052744887,-0.09348662858489118
SPC25,quiescent,0.37825618945102263,0.39526372443487623,0.06345186724131872
KIFC1,quiescent,1.0981700753498385,1.1046286329386437,0.008459924786792115
HMMR,quiescent,0.78751345532831,0.8135629709364909,0.04694944345258768
TTK,quiescent,0.3634015069967707,0.4002152852529602,0.13921186584711867
PIMREG,quiescent,0.4751345532831001,0.48310010764262645,0.02398604627911352
CKS2,quiescent,1.781485468245425,1.7965554359526372,0.012152737661225592
IER5,quiescent,0.8376749192680302,0.8417653390742734,0.00702762721348977
MIR503HG,quiescent,0.263724434876211,0.2667384284176534,0.01639443818885528
JUND,quiescent,2.191173304628633,2.1741657696447794,-0.011241651610493954
AURKB,quiescent,0.4503767491926803,0.44284176533907427,-0.024341057667502993
MEST,quiescent,4.1218514531754575,4.032077502691066,-0.03176914281502816
CKAP2,quiescent,0.7993541442411195,0.7937567276641551,-0.01013789874819507
PSRC1,quiescent,0.17502691065662002,0.1696447793326157,-0.045059722357144415
TMEM185A,quiescent,0.4223896663078579,0.3974165769644779,-0.087922488358836
CDCA2,quiescent,0.38815931108719054,0.4271259418729817,0.13801262861545396
CDK1,quiescent,0.669967707212056,0.7059203444564047,0.07541384129719679
FOXM1,quiescent,0.4493003229278794,0.0673842841765339,-2.7371960200282355
PRC1,quiescent,0.3756727664155005,0.361248654467169,-0.05648432050385416
ASPM,quiescent,1.141227125941873,1.134983853606028,-0.007914170257767477
HIST1H4C,quiescent,6.986221743810549,6.513885898815931,-0.10099398598693175
HIST2H2AC,quiescent,0.40904198062432723,0.3935414424111948,-0.05573334802132113
CCNB1,quiescent,1.516038751345533,1.5272335844994618,0.010614103065081803
NET1,quiescent,0.8482238966630786,0.8936490850376749,0.07526330217341348
LSM5,quiescent,2.105059203444564,2.079009687836383,-0.01796432780071593
PBX3,quiescent,0.2488697524219591,0.27405812701829924,0.13909102086788433
FAM122B,quiescent,0.3472551130247578,0.37072120559741656,0.09433870397822335
PAX6,quiescent,0.4542518837459634,0.4510226049515608,-0.010292754985093836
FANCD2,quiescent,0.3571582346609257,0.348762109795479,-0.034320073086632034
LIG1,quiescent,0.34617868675995694,0.342518837459634,-0.015333570803350778
HIST1H1C,quiescent,0.5132400430570506,0.528740581270183,0.042926324825611956
REXO5,quiescent,0.21593110871905274,0.2193756727664155,0.022832445448726195
UBE2S,quiescent,1.8484391819160388,1.877502691065662,0.022507399397487658
CDKN2C,quiescent,0.5834230355220668,0.5808396124865447,-0.006402503281967933
HIST1H2AG,quiescent,0.1597416576964478,0.17954790096878365,0.1686281958275879
TUBA1B,quiescent,13.266738428417653,12.953067814854682,-0.034519906398271516
FIGNL1,quiescent,0.4869752421959096,0.4813778256189451,-0.016678741112181962
CD9,quiescent,1.640043057050592,1.5339074273412272,-0.09652227367564427
