gene,umap_x,umap_y,cluster
AL451064.1,25.460741,5.6368227,0
GANC,24.724934,7.833874,2
DDX39B-AS1,24.070427,2.5725574,8
SVOP,26.328678,6.2575245,0
ITPR1,25.90716,5.4339895,3
PAPPA-AS1,26.573832,7.4108777,0
AC010745.2,23.272823,5.7760205,8
TBC1D24,25.221859,7.3816633,2
AP001160.2,24.979729,3.253711,8
PAXBP1,27.123676,7.317488,9
SLC25A25-AS1,24.84792,7.5491567,5
AC112715.1,26.453981,7.4731145,0
SMC4,21.378582,11.269893,8
TRAF6,23.371851,2.4590635,8
PTBP2,27.713434,5.5059614,7
DNMBP-AS1,23.025013,5.059835,8
ZNF337-AS1,20.65596,5.248485,8
AL024497.1,24.188372,5.20755,4
BIVM,22.012556,7.201008,8
AL158151.3,26.366205,5.5441227,7
AP003392.1,26.37771,6.619782,0
HERC5,21.363407,9.667668,8
AC010255.1,21.318316,4.623906,8
NARS,24.16659,6.099699,3
FAM131C,24.961155,5.757916,8
FBF1,24.4916,8.522095,8
FPGT,21.236107,4.3158984,8
GPBP1L1,27.150038,5.6661453,3
PSEN1,26.292456,7.761583,0
ATG4C,21.99339,6.651265,8
CPSF7,23.326744,1.4099269,8
SPIN3,23.33434,4.2110844,4
DNAL1,23.98344,7.9234815,2
UHMK1,26.029472,5.6574264,7
LCORL,24.866184,8.952645,0
AC079329.1,25.463278,4.325475,4
NFYC-AS1,26.125736,5.175588,7
AL590714.1,26.406115,4.880313,4
AC007938.3,27.934685,6.175317,7
AC105118.1,27.566797,4.831349,7
AC105020.3,25.285454,5.5637636,8
TPCN2,22.84782,7.173492,8
TBK1,26.18103,8.07748,5
SHLD2,23.62724,7.2139797,5
AC130324.1,26.639551,7.2308455,0
LRP5L,24.871021,2.6986084,4
TTK,21.59895,11.123857,8
GALNT11,22.48319,5.8326526,2
STRADA,24.631844,5.908985,0
AC118553.2,26.598112,7.6887183,0
AL109811.3,25.520977,6.896745,0
AC121333.1,25.492975,5.0540533,7
CAMSAP2,26.15214,7.8935704,1
MYO3B,23.232237,4.7726903,6
VAV3,24.352951,6.407806,8
MLXIPL,22.927778,5.093947,8
PACS2,22.344933,7.2911034,8
ARID1B,23.641756,7.7974443,5
C1orf21,26.107662,2.8562896,8
EMP1,22.71833,6.5137057,5
CNTROB,27.52158,6.7700367,7
CASC2,25.26035,8.864452,0
AC069287.2,27.006002,4.6089034,7
CDK19,26.235273,3.5334103,8
SPDL1,22.547722,10.515353,8
TAZ,22.746775,8.816462,8
ATP2A1,20.668118,4.9648867,8
RASD1,25.252966,4.2936945,8
UHRF1BP1,26.511312,6.5974936,7
ZNF333,22.886717,4.9010706,8
AC016910.1,26.718311,4.52946,7
GRTP1,23.080034,5.85081,8
AC083949.1,26.492323,5.7533145,0
ST6GALNAC3,25.943926,6.981877,0
ERMP1,24.797161,5.686119,8
SEMA3C,23.429121,5.4734497,5
ONECUT3,27.641253,5.3355613,0
COL3A1,21.53643,3.017286,6
MYOD1,23.51158,1.791147,8
AL139423.1,24.361504,5.122026,7
AC007370.2,25.447517,4.555821,7
AC000093.1,23.185637,5.517033,2
LAMA4,22.19371,2.3147979,8
PIDD1,21.961452,7.923255,8
CCDC171,23.782528,7.930229,2
MAPRE3,23.949183,4.930014,7
IFIT1,22.678148,4.1473837,8
DLG1,26.874855,6.641171,1
CCDC186,26.693264,4.258337,3
AL023755.1,24.222702,4.0945563,4
NDUFA5,23.138737,1.4868531,8
AC005920.1,26.457314,4.021205,7
AC073333.1,25.537914,4.0036488,4
RNF8,22.75145,8.258431,8
ZNF347,25.546492,8.030879,2
MAP3K15,28.125603,5.2284036,8
STXBP3,25.702,7.992635,5
VPS35L,21.493378,6.3987126,2
ACSS2,21.346739,3.1701047,6
NT5E,25.619514,3.4977522,4
COL1A2,22.607857,6.1251783,5
LRBA,24.629656,6.5895247,0
CDH18,24.615644,5.4892836,0
SAPCD1,-1.8234243,-0.3721063,8
RBM45,25.821053,5.7630486,7
AP005432.2,23.067951,7.2881093,8
AL121928.1,26.587002,7.5150657,0
ATF7IP,26.940596,6.4895415,3
AC025754.2,27.206587,6.3876724,8
HIST1H2BD,28.011168,5.713681,7
LCTL,23.837402,8.279246,8
AC026471.4,22.410347,4.132452,4
NMRK1,22.606094,3.8395386,6
EIF5,21.798388,7.859108,8
EIF3B,22.018751,6.913985,2
CTRL,25.211267,4.994201,4
AC138028.6,24.725193,7.561406,2
AC102953.2,27.314081,5.952992,0
RBM5,26.668964,7.133829,1
RASA2,23.527655,8.7949295,2
TEX19,19.76115,5.3380294,8
NEUROD2,25.50155,3.052411,4
AC018648.1,26.89304,5.8558393,7
ARID3B,25.014065,6.1303945,0
DTL,20.969212,4.4511666,8
AC011472.1,26.35084,4.208685,7
AC087500.1,26.391657,6.2328444,8
TRMT11,25.294838,2.4530237,8
INHBA,25.251095,5.482029,7
KDM7A,25.015339,3.4537165,3
TOGARAM1,24.926434,3.8516839,4
NEDD9,25.92764,8.786393,0
TBC1D31,23.33015,8.91834,8
AC008264.2,25.294386,5.6296587,3
DCBLD2,22.610823,8.39188,2
SAFB,25.56512,8.602921,1
KCNJ6,26.290506,4.0074534,7
DGKD,23.605757,4.8269362,4
TOM1L2,21.866987,6.171512,8
HEY1,20.504625,6.4872603,8
HHAT,22.312626,7.948874,2
EAF1,25.53975,5.4778748,0
RBBP6,24.37976,8.900654,0
TRIM46,26.417048,5.3877215,4
DCLRE1A,24.909231,7.849466,0
CENPJ,23.460701,9.448405,8
SDR42E2,26.627518,4.567216,4
SACS-AS1,21.77177,7.343299,8
GLS2,25.345846,7.9495974,0
COX20,20.243246,6.173355,8
PTPRM,22.76287,4.735052,8
ZFYVE16,25.843987,8.233927,1
SREK1,26.491837,8.343179,0
AC024267.6,28.174229,5.338607,0
RHBDL1,22.118874,3.2942588,8
LEP,27.0096,5.2816334,7
ARID2,24.218496,7.5931606,5
AC100786.1,27.332523,3.7114854,8
RND3,28.03519,5.557903,7
ZNF276,23.562208,5.5229483,3
STAC2,24.61073,5.0704184,8
AC239868.3,27.260313,3.9491549,7
TMPRSS2,25.080587,3.3804083,4
PPWD1,25.834126,8.188293,1
ARHGAP45,21.40096,3.3256092,6
CXorf56,26.920649,5.2544413,7
TRIM58,25.735575,3.2956321,4
FEM1C,27.967604,4.5986447,0
SGK1,26.978447,6.4001036,1
ANKRD52,23.540442,6.90625,4
LINC01248,25.140797,5.6810236,8
LNX2,24.863695,7.595626,8
THUMPD2,22.55462,6.2987595,2
SMNDC1,27.600512,7.364412,8
VCAN-AS1,25.767374,5.011771,8
TMA16,23.088173,7.5222054,2
RNFT1-DT,23.306208,7.3086276,2
MANBA,23.854315,4.792653,4
RBM20,23.879343,6.5762944,0
GART,23.491283,7.452543,1
CHCHD7,20.0873,5.841908,8
TBP,26.102045,8.417932,5
IGF2,23.121994,3.8558824,4
AP003696.1,24.832336,4.246477,8
FGF23,26.503426,7.1214375,0
KLHL17,23.566212,5.179992,8
ZNF652,25.045908,5.3266335,3
BIRC6,24.592962,6.0942545,1
AL451060.1,24.050127,6.554745,8
AL080317.1,27.748953,6.593962,7
KLKB1,22.349812,4.4532056,8
PLCL1,25.85026,3.3881922,4
CENPH,-1.7737921,-0.32248855,8
THSD7A,25.553614,4.6440625,0
AL355075.1,23.235233,5.110486,8
DIS3L2,21.880278,2.9588428,8
AL512329.2,23.239494,6.0593085,8
SLC12A7,20.85252,5.7074957,8
ATP6V1C1,26.689487,8.143441,8
PEX2,22.736656,3.964332,8
AC138393.3,24.224142,6.2990603,2
AHCTF1,25.067448,8.839456,1
MAP7D2,27.349123,6.404356,8
DLEC1,25.254963,5.07611,0
