x,y,population,cell_type,time
-2.1924982,5.5928674,quiescent,quiescent,16.0
4.32826,0.93957883,intermediate,proliferative,48.0
0.7424797,2.4906304,intermediate,intermediate,32.0
7.217552,8.6736,proliferative,proliferative,80.0
3.065405,0.20060585,intermediate,intermediate,48.0
4.3668776,3.2675867,proliferative,proliferative,48.0
0.0897645,4.0920944,intermediate,intermediate,64.0
-0.08190027,8.634128,quiescent,quiescent,16.0
1.6929954,8.273551,intermediate,quiescent,0.0
7.101545,6.8229995,proliferative,proliferative,80.0
-0.106243886,10.151032,proliferative,quiescent,0.0
6.2496805,8.340085,proliferative,proliferative,80.0
1.589644,4.0831256,intermediate,intermediate,48.0
7.050639,2.7236478,proliferative,proliferative,80.0
2.368287,-0.9234604,intermediate,intermediate,48.0
-0.62087744,7.7595453,quiescent,quiescent,0.0
0.7957018,5.470414,intermediate,quiescent,16.0
-0.5504081,4.415848,intermediate,quiescent,16.0
-0.38450685,8.181144,quiescent,quiescent,0.0
7.976466,3.604598,proliferative,proliferative,64.0
8.755725,7.062444,proliferative,proliferative,80.0
-2.8349152,10.106143,quiescent,quiescent,0.0
4.4600115,-0.6779685,intermediate,intermediate,64.0
8.211532,1.5410582,proliferative,proliferative,64.0
-0.9923138,7.204188,quiescent,quiescent,0.0
-0.84492785,3.2947254,intermediate,intermediate,48.0
7.6856604,8.574495,proliferative,proliferative,80.0
-0.44736484,1.9420179,quiescent,intermediate,32.0
0.4917537,2.0268025,intermediate,intermediate,48.0
-1.7226131,1.3373262,intermediate,intermediate,32.0
1.1848364,2.2642128,intermediate,intermediate,32.0
1.2110338,2.4429247,intermediate,intermediate,32.0
5.580969,1.8605559,proliferative,proliferative,48.0
6.68264,5.144212,proliferative,proliferative,64.0
-0.2598604,7.927768,quiescent,quiescent,0.0
2.1795754,5.2127743,intermediate,intermediate,16.0
0.042692143,2.9841366,intermediate,intermediate,64.0
7.2231255,3.1913135,proliferative,proliferative,64.0
2.7894075,3.192304,intermediate,intermediate,32.0
0.7825434,2.614982,intermediate,intermediate,48.0
-0.43145543,1.974203,intermediate,intermediate,32.0
-0.7141273,3.0892582,intermediate,intermediate,32.0
-1.949795,8.724373,quiescent,quiescent,0.0
2.236372,1.3925352,intermediate,intermediate,32.0
0.42176434,1.4815958,intermediate,intermediate,32.0
-1.011335,3.9254177,intermediate,intermediate,32.0
-1.5664202,5.9809804,quiescent,quiescent,16.0
0.9635097,1.5603858,intermediate,intermediate,48.0
-0.48946914,1.0017089,intermediate,intermediate,32.0
-1.836907,8.781125,quiescent,quiescent,0.0
-1.5302532,5.3278184,quiescent,quiescent,16.0
1.4097215,0.61967885,intermediate,intermediate,32.0
-0.97022474,8.71539,quiescent,quiescent,0.0
5.1513386,1.092387,proliferative,proliferative,64.0
6.6727576,6.9876776,proliferative,proliferative,64.0
4.14649,-0.21177518,intermediate,proliferative,48.0
2.491184,3.021,intermediate,intermediate,48.0
2.2491293,4.8299637,quiescent,quiescent,32.0
3.1847126,1.5061296,intermediate,intermediate,32.0
5.146944,3.0627058,proliferative,proliferative,64.0
2.2689145,0.5322196,intermediate,intermediate,64.0
3.4356484,1.8351618,intermediate,proliferative,64.0
2.4604897,5.271781,intermediate,intermediate,16.0
0.36383152,0.2728506,intermediate,intermediate,64.0
-1.4549387,2.9559634,intermediate,intermediate,48.0
7.8698254,1.2679824,proliferative,proliferative,80.0
6.2541633,3.784407,proliferative,proliferative,64.0
4.8541417,0.85080355,intermediate,proliferative,48.0
-0.774644,4.6334834,intermediate,quiescent,16.0
